2023-08-27 15:43:58,019 DEBUG   SenderThread:42383 [sender.py:send():122] send: stats
2023-08-27 15:44:05,250 DEBUG   SenderThread:42383 [sender.py:send():122] send: stats
2023-08-27 15:44:09,157 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: status
2023-08-27 15:44:09,159 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:09,159 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: status
2023-08-27 15:44:12,279 DEBUG   SenderThread:42383 [sender.py:send():122] send: stats
2023-08-27 15:44:19,126 DEBUG   SenderThread:42383 [sender.py:send():122] send: stats
2023-08-27 15:44:24,354 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: status
2023-08-27 15:44:24,354 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:24,354 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: status
2023-08-27 15:44:25,853 DEBUG   SenderThread:42383 [sender.py:send():122] send: stats
2023-08-27 15:44:26,859 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: log_artifact
2023-08-27 15:44:26,859 DEBUG   SenderThread:42383 [sender.py:send():122] send: request
2023-08-27 15:44:26,859 DEBUG   SenderThread:42383 [sender.py:send_request():131] send_request: log_artifact
2023-08-27 15:44:27,101 DEBUG   HandlerThread:42383 [handler.py:handle_request():101] handle_request: poll_exit
2023-08-27 15:44:31,967 DEBUG   SenderThread:42383 [sender.py:send():122] send: summary
2023-08-27 15:44:31,969 INFO    SenderThread:42383 [sender.py:_save_file():730] saving file wandb-summary.json with policy end
2023-08-27 15:44:31,969 DEBUG   SenderThread:42383 [sender.py:send():122] send: summary
2023-08-27 15:44:31,970 INFO    SenderThread:42383 [sender.py:_save_file():730] saving file wandb-summary.json with policy end
2023-08-27 15:44:31,970 DEBUG   SenderThread:42383 [sender.py:send():122] send: files
2023-08-27 15:44:31,970 INFO    SenderThread:42383 [sender.py:_save_file():730] saving file media/images/feature_importance_0_a9f5510e.png with policy now
2023-08-27 15:44:31,970 DEBUG   SenderThread:42383 [sender.py:send():122] send: history
2023-08-27 15:44:31,971 DEBUG   SenderThread:42383 [sender.py:send():122] send: summary
2023-08-27 15:44:31,971 INFO    SenderThread:42383 [sender.py:_save_file():730] saving file wandb-summary.json with policy end
2023-08-27 15:44:31,971 DEBUG   SenderThread:42383 [sender.py:send():122] send: telemetry
2023-08-27 15:44:32,195 DEBUG   SenderThread:42383 [sender.py:send():122] send: exit
2023-08-27 15:44:32,196 INFO    SenderThread:42383 [sender.py:send_exit():200] handling exit code: 0
2023-08-27 15:44:32,196 INFO    SenderThread:42383 [sender.py:send_exit():208] send defer
